StateID	State	Region
AK	Alaska	10
AL	Alabama	4
AR	Arkansas	6
AS	American Samoa	9
AZ	Arizona	9
CA	California	9
CO	Colorado	8
CT	Connecticut	1
DC	District of Columbia	3
DE	Delaware	3
FL	Florida	4
FM	Federated States of Micronesia	9
GA	Georgia	4
GU	Guam	9
HI	Hawaii	9
IA	Iowa	7
ID	Idaho	10
IL	Illinois	5
IN	Indiana	5
KS	Kansas	7
KY	Kentucky	4
LA	Louisiana	6
MA	Massachusetts	1
MD	Maryland	3
ME	Maine	1
MH	Marshall Islands	9
MI	Michigan	5
MN	Minnesota	5
MO	Missouri	7
MP	Northern Mariana Islands	9
MS	Mississippi	4
MT	Montana	8
NC	North Carolina	4
ND	North Dakota	8
NE	Nebraska	7
NH	New Hampshire	1
NJ	New Jersey	2
NM	New Mexico	6
NV	Nevada	9
NY	New York	2
OH	Ohio	5
OK	Oklahoma	6
OR	Oregon	10
PA	Pennsylvania	3
PR	Puerto Rico	2
RI	Rhode Island	1
SC	South Carolina	4
SD	South Dakota	8
TN	Tennessee	4
TX	Texas	6
UT	Utah	8
VA	Virginia	3
VI	Virgin Islands	2
VT	Vermont	1
WA	Washington	10
WI	Wisconsin	5
WV	West Virginia	3
WY	Wyoming	8
