frmName,ctlName,UseTheme,HoverColor,PressedColor,HoverForeColor,PressedForeColor	
frmDeterminationMemo,Command71,True,14282978,9917743,0,13431551	
frmDeterminationMemo,Command72,True,14282978,9917743,0,13431551	
frmDeterminationMemo,Command84,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command86,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command73,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command77,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command78,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command79,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command80,True,15652797,11957550,4210752,4210752	
subfrmSITFLAssignProjects-Site Inspection,Command133,False,16777215,16777215,16777215,16777215	
frmSpecializedsiteInspections,Command42,False,16777215,16777215,16777215,16777215	
frmSpecializedsiteInspections,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmSpecializedsiteInspections,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmSpecializedsiteInspections,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmSpecializedsiteInspections,cmdNext,False,16777215,16777215,16777215,16777215	
frmSTSiteInspections,cmdSiteInspectionWorkOrder,True,14282978,16777215,0,16777215	
frmSTSiteInspections,Command42,False,16777215,16777215,16777215,16777215	
frmSTSiteInspections,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmSTSiteInspections,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmSTSiteInspections,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmSTSiteInspections,cmdNext,False,16777215,16777215,16777215,16777215	
frmTasks,cmdRefreshList,False,16777215,16777215,16777215,16777215	
frmTasks,cmdCloseForm,False,16777215,16777215,16777215,16777215	
frmTasks,cmdtglTasks,False,16777215,16777215,16777215,16777215	
frmProcessProjectRoutingSheet PDC,cmdSubmit,True,9917743,15983578,13431551,0	
frmProcessProjectRoutingSheet PDC,cmdCloseForm,True,9917743,15983578,13431551,0	
frmProcessProjectRoutingSheet PDC,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmProcessProjectRoutingSheet PDC,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmProcessProjectRoutingSheet PDC,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmProcessProjectRoutingSheet PDC,cmdNext,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdOpenInitialProjections,True,9917743,14282978,13431551,0	
frmSubrecipientRSM,cmdRSMGuide,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdDIUEntry,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdViewEnterRSM,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdScopingMeetingComplete,True,9917743,14282978,13431551,0	
frmSubrecipientRSM,cmdCloseForm,True,9917743,15189940,13431551,0	
frmSubrecipientRSM,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmSubrecipientRSM,cmdNext,False,16777215,16777215,16777215,16777215	
navMain,cmdOpenDocTransmittal,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenSpecializedLaneDI,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenUpdateCMF,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenReports,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenSubrecipientBriefing,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenRPAEligibilityReview,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenExploratoryCall,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenRecoveryScopingMeeting,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenAssignPDC,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenUpdateProjections,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenExitBriefing,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenCompleteProjectRouting,True,14282978,14282978,4210752,4210752	
navMain,cmdOpenProcessProjectRoutin,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenStaffDisasterAdmin,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenMyTasks,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenExpeditedLaneDI,True,15652797,11957550,4210752,4210752	
navMain,cmdOpen ExpeditedScopingCosting,True,13952764,13952764,4210752,4210752	
navMain,cmdOpenExpeditedComplianceReviews,True,15195103,15195103,4210752,4210752	
navMain,cmdOpenAllTasks,True,15652797,11957550,4210752,4210752	
navMain,Command99,True,13952764,13952764,4210752,4210752	
navMain,cmdOpenStandardLane,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenStScopeCost,True,13952764,16777215,13998939,16777215	
navMain,cmdOpenUnassignedTasks,True,15652797,11957550,4210752,4210752	
navMain,cmdOpenRFINav,True,15652797,11957550,4210752,4210752	
navMain,Command121,True,15652797,11957550,4210752,4210752	
navMain,Command122,True,15652797,11957550,4210752,4210752	
frmRFIConcurrence,cmdOpenRFI,True,14282978,16777215,0,16777215	
frmRFIConcurrence,cmdConcurrenceComplete,True,14282978,16777215,0,16777215	
frmRFIConcurrence,cmdCancel,True,14282978,16777215,0,0	
